CountryCode,ServicesType,PercentOfExportedServices
BEL,"Computer, communications and other services (% of commercial service exports)",59.14663046
BEL,Chemicals (% of value added in manufacturing),27.57521642
BEL,"Food, beverages and tobacco (% of value added in manufacturing)",15.85164778
BEL,Machinery and transport equipment (% of value added in manufacturing),19.00074285
BEL,Other manufacturing (% of value added in manufacturing),34.8431772
BEL,Textiles and clothing (% of value added in manufacturing),2.729215744
BLZ,Transport services (% of commercial service exports),5.298243948
BLZ,Travel services (% of commercial service exports),81.61795983
BLZ,Insurance and financial services (% of commercial service exports),0.661065215
BLZ,"Computer, communications and other services (% of commercial service exports)",12.42273101
BEN,Transport services (% of commercial service exports),32.13828211
BEN,Travel services (% of commercial service exports),33.12100172
BEN,Insurance and financial services (% of commercial service exports),3.919642682
BEN,"Computer, communications and other services (% of commercial service exports)",30.82107349
BMU,Transport services (% of commercial service exports),2.58515656
BMU,Travel services (% of commercial service exports),31.63229776
BMU,Insurance and financial services (% of commercial service exports),22.2498333
BMU,"Computer, communications and other services (% of commercial service exports)",43.53271238
BMU,Chemicals (% of value added in manufacturing),4.879795183
BMU,"Food, beverages and tobacco (% of value added in manufacturing)",10.23251428
BMU,Machinery and transport equipment (% of value added in manufacturing),13.31807234
BMU,Other manufacturing (% of value added in manufacturing),69.9113747
BMU,Textiles and clothing (% of value added in manufacturing),1.658243503
BTN,Transport services (% of commercial service exports),29.22163153
BTN,Travel services (% of commercial service exports),68.34654334
BTN,Insurance and financial services (% of commercial service exports),2.049378158
BTN,"Computer, communications and other services (% of commercial service exports)",0.382446972
BOL,Transport services (% of commercial service exports),25.20841763
BOL,Travel services (% of commercial service exports),56.05089642
BOL,Insurance and financial services (% of commercial service exports),0.207871607
BOL,"Computer, communications and other services (% of commercial service exports)",18.53281434
BOL,Chemicals (% of value added in manufacturing),8.419686271
BOL,"Food, beverages and tobacco (% of value added in manufacturing)",49.39120063
BOL,Machinery and transport equipment (% of value added in manufacturing),0.876570516
BOL,Other manufacturing (% of value added in manufacturing),37.76239106
BOL,Textiles and clothing (% of value added in manufacturing),3.550151514
BIH,Transport services (% of commercial service exports),20.13351902
BIH,Travel services (% of commercial service exports),42.56185551
BIH,Insurance and financial services (% of commercial service exports),0.287969612
BIH,"Computer, communications and other services (% of commercial service exports)",37.01665585
BIH,Chemicals (% of value added in manufacturing),6.799627949
BIH,"Food, beverages and tobacco (% of value added in manufacturing)",18.63210608
BIH,Machinery and transport equipment (% of value added in manufacturing),8.44096674
BIH,Other manufacturing (% of value added in manufacturing),52.81272121
BIH,Textiles and clothing (% of value added in manufacturing),13.31457802
BWA,Transport services (% of commercial service exports),5.397772214
BWA,Travel services (% of commercial service exports),60.12847941
BWA,Insurance and financial services (% of commercial service exports),0.401197619
BWA,"Computer, communications and other services (% of commercial service exports)",34.07255076
BWA,"Food, beverages and tobacco (% of value added in manufacturing)",24.74076261
BWA,Other manufacturing (% of value added in manufacturing),72.80067517
BWA,Textiles and clothing (% of value added in manufacturing),2.458562223
BRA,Transport services (% of commercial service exports),14.96744312
BRA,Travel services (% of commercial service exports),17.52422722
BRA,Insurance and financial services (% of commercial service exports),4.723795282
BRA,"Computer, communications and other services (% of commercial service exports)",62.78453438
BRA,Chemicals (% of value added in manufacturing),11.26609228
BRA,"Food, beverages and tobacco (% of value added in manufacturing)",19.87639668
BRA,Machinery and transport equipment (% of value added in manufacturing),19.88737933
BRA,Other manufacturing (% of value added in manufacturing),42.35058929
BRA,Textiles and clothing (% of value added in manufacturing),6.619542414
BRN,Transport services (% of commercial service exports),77.62942363
BRN,Travel services (% of commercial service exports),14.15522431
BRN,"Computer, communications and other services (% of commercial service exports)",8.215352057
BGR,Transport services (% of commercial service exports),23.51541388
BGR,Travel services (% of commercial service exports),43.54275867
BGR,Insurance and financial services (% of commercial service exports),4.758282445
BGR,"Computer, communications and other services (% of commercial service exports)",28.183545
BGR,Chemicals (% of value added in manufacturing),5.733525734
BGR,"Food, beverages and tobacco (% of value added in manufacturing)",18.28763829
BGR,Machinery and transport equipment (% of value added in manufacturing),18.82635883
BGR,Other manufacturing (% of value added in manufacturing),44.22318422
BGR,Textiles and clothing (% of value added in manufacturing),12.92929293
BFA,Transport services (% of commercial service exports),15.10754192
BFA,Travel services (% of commercial service exports),31.59935717
BFA,Insurance and financial services (% of commercial service exports),18.88205707
BFA,"Computer, communications and other services (% of commercial service exports)",34.41104385
BDI,Transport services (% of commercial service exports),8.640242492
BDI,Travel services (% of commercial service exports),13.53635865
