CountryCode,ServicesType,PercentOfExportedServices
HUN,"Computer, communications and other services (% of commercial service exports)",50.34029468
HUN,Chemicals (% of value added in manufacturing),10.7323571
HUN,"Food, beverages and tobacco (% of value added in manufacturing)",9.939640817
HUN,Machinery and transport equipment (% of value added in manufacturing),43.28605121
HUN,Other manufacturing (% of value added in manufacturing),33.8534292
HUN,Textiles and clothing (% of value added in manufacturing),2.188521671
ISL,Transport services (% of commercial service exports),38.15549923
ISL,Travel services (% of commercial service exports),32.30139547
ISL,Insurance and financial services (% of commercial service exports),4.529849534
ISL,"Computer, communications and other services (% of commercial service exports)",25.01325577
ISL,Chemicals (% of value added in manufacturing),2.655523959
ISL,"Food, beverages and tobacco (% of value added in manufacturing)",46.98152884
ISL,Machinery and transport equipment (% of value added in manufacturing),9.164138557
