CountryCode,Chemicals (% of value added in manufacturing),"Computer, communications and other services (% of commercial service exports)","Food, beverages and tobacco (% of value added in manufacturing)",Insurance and financial services (% of commercial service exports),Machinery and transport equipment (% of value added in manufacturing),Other manufacturing (% of value added in manufacturing),Textiles and clothing (% of value added in manufacturing),Transport services (% of commercial service exports),Travel services (% of commercial service exports)
FJI,5.375995012,5.215290136,50.53842398,0.506510269,1.753952028,30.38440084,11.94722814,27.79259528,66.48560432
FRA,12.43134432,53.84711909,18.26280117,7.010611982,33.28025558,33.04027555,2.985323378,17.64149529,21.50077364
FSM,,10.98188238,,,,,,13.30171601,75.71640161
GAB,,65.00682322,,1.876385967,,,,2.561551146,30.55523967
GBR,9.457930936,45.31095999,18.31618274,30.54158804,34.93434255,35.24958405,2.041959729,10.8643165,13.28313547
GEO,10.75348044,5.690174136,50.11061884,0.919922259,3.560315865,33.09452002,2.481064843,32.8887263,60.5011773
GHA,6.319854015,21.730904,34.5831811,1.764062737,0.794739209,51.90827796,6.393947718,31.15255878,45.35247448
GIN,,47.81603003,,25.32892094,,,,0.598032197,26.25701684
GMB,,2.825655604,,1.178395093,,,,23.29171928,72.70423003
GNB,,51.40627889,,2.495184653,,,,,46.09853646
GRC,11.47319301,12.24024145,34.08720428,1.84257709,9.280745103,40.55822582,4.600631784,42.48405395,43.4331275
GRD,,4.416770492,,1.667741891,,,,3.583591198,90.33189642
GTM,,45.45478011,,3.074776932,,,,13.44993079,38.02051217
GUY,,28.58308067,,13.80727212,,,,14.07576841,43.5338788
HIC,,45.72206475,,10.65313063,,,,21.09336021,22.54091599
HKG,10.12242287,16.50885688,30.29457094,17.66895192,25.93271104,28.22995725,5.420337899,29.90231817,35.91987303
HND,,68.84622724,,0.03246011,,,,4.622269511,26.49904314
HPC,,33.36735424,,3.207074993,,,,24.82679892,38.92044511
HRV,8.393490875,18.58958357,25.44969595,0.866418632,15.84078311,43.15927845,7.15675161,10.63909148,69.90490632
HTI,,8.644981521,,1.534247974,,,,,89.82077051
HUN,10.7323571,50.34029468,9.939640817,1.486433857,43.28605121,33.8534292,2.188521671,24.50620651,23.66706495
IBD,,42.60075966,,4.712643101,,,,20.13498216,32.89759318
IBT,,41.77309821,,4.739622911,,,,20.907398,32.91165139
IDA,,28.43058101,,5.175232352,,,,33.39968065,33.13607015
IDB,,23.3416674,,3.291563966,,,,45.81252674,27.55424189
IDN,13.40266711,37.60495516,28.41257684,1.084690222,16.71248015,31.28032338,10.19195251,16.54027382,44.7700808
IDX,,33.67564055,,7.122825511,,,,20.52146186,38.89821696
IND,16.1408592,70.48587461,9.807163066,5.060903788,18.92663872,46.61638369,8.50895533,11.87445855,12.57876306
IRL,42.6877155,71.98475226,23.70861973,19.10925702,11.74395486,21.40310751,0.4566024,5.223658924,3.682331801
IRN,26.71273495,,11.02855389,,15.79901318,43.88363902,2.576058963,,
IRQ,1.331053562,33.45677584,21.51605994,0.963430159,1.817604733,75.25718281,0.078098949,9.512787872,56.06700613
ISL,2.655523959,25.01325577,46.98152884,4.529849534,9.164138557,40.0463113,1.152497345,38.15549923,32.30139547
ISR,,72.2455275,12.02075037,0.079944896,40.70786978,45.21687887,2.054500973,11.63144958,16.04307803
ITA,8.468358695,38.59084052,11.38425763,7.442481041,29.66831787,40.62768879,9.851377016,13.83066869,40.13600975
JAM,,14.81146868,,0.504646913,,,,7.472035064,77.21184934
JOR,21.53606414,8.181565856,30.37424539,1.214851506,3.204022112,39.69830412,5.187364229,24.27567948,66.32790315
JPN,10.95370239,57.78719247,12.37669277,5.562625003,39.58436939,35.5000571,1.585178354,24.8431331,11.80704942
KAZ,6.483238476,10.70912794,25.05771402,1.312878882,8.92750297,58.63405908,0.89748545,58.29497457,29.68301861
KEN,7.892408522,21.60725098,38.6116677,6.91120145,5.304852434,33.46183443,14.72923691,51.78595212,19.69559545
KGZ,1.296138247,34.58521226,14.93359701,0.363151919,1.050355377,78.8811754,3.838733964,17.76431433,47.28732149
