Country Name,Country Code,Year,GDP,Agriculture,Industry,Manufacturing,Services
Guyana,GUY,2014,"3,077,643,313.71",16.33,29.66,5.46,44.55
Haiti,HTI,2014,"8,775,444,941.94",17.96,60.54,,15.65
Honduras,HND,2014,"19,756,494,434.70",12.54,24.51,17.25,60.15
"Hong Kong SAR, China",HKG,2014,"291,459,356,985.34",0.07,7.07,1.23,90.48
Hungary,HUN,2014,"140,558,786,480.46",3.95,25.71,19.5,54.72
Iceland,ISL,2014,"17,758,050,018.97",5.27,20.63,11.33,63.7
India,IND,2014,"2,039,127,446,298.60",16.79,27.66,15.07,47.82
Indonesia,IDN,2014,"890,814,755,233.22",13.34,41.93,21.08,42.24
"Iran, Islamic Rep.",IRN,2014,"432,687,036,177.82",9.78,39.62,13.75,49.9
Iraq,IRQ,2014,"234,648,370,497.43",4.9,56.54,1.83,38.56
Ireland,IRL,2014,"258,471,885,130.30",1.24,24.76,19.93,65.66
Isle of Man,IMN,2014,"7,428,280,401.51",0.46,8.57,2.75,86.31
Israel,ISR,2014,"309,558,454,718.87",1.17,20.36,12.71,67.71
Italy,ITA,2014,"2,159,133,919,743.80",2,20.8,13.98,67.09
Jamaica,JAM,2014,"13,897,804,560.35",5.97,18.36,8.12,63.64
Japan,JPN,2014,"4,850,413,536,037.80",1.06,27.69,19.73,70.49
Jordan,JOR,2014,"36,329,267,605.63",4.6,28.35,20,61.09
Kazakhstan,KAZ,2014,"221,415,572,819.50",4.33,33.21,10.32,54.84
Kenya,KEN,2014,"61,448,046,801.60",27.45,17.44,9.96,47.98
Kiribati,KIR,2014,"179,703,443.30",23.74,14.39,4.65,61.66
"Korea, Dem. People�s Rep.",PRK,2014,,,,,
"Korea, Rep.",KOR,2014,"1,484,318,219,633.60",2.06,34.09,27.04,55.64
Kosovo,XKX,2014,"7,396,705,194.63",11.89,22.11,10.34,48.93
Kuwait,KWT,2014,"162,631,412,508.78",0.45,70.55,5.54,42.17
Kyrgyz Republic,KGZ,2014,"7,468,096,566.71",14.72,23.89,13.68,50.61
Lao PDR,LAO,2014,"13,268,458,231.93",17.85,28.82,8.43,44.16
Latvia,LVA,2014,"31,382,780,146.42",3.24,19.64,10.74,65.19
Lebanon,LBN,2014,"48,134,486,624.61",4.02,16.21,7.53,73.76
Lesotho,LSO,2014,"2,499,803,980.17",3.87,31.41,11.96,52.97
Liberia,LBR,2014,"3,144,000,000.00",35.77,15.71,2.26,48.53
Libya,LBY,2014,"41,142,722,414.34",,,,
Liechtenstein,LIE,2014,"6,657,170,923.38",,39.65,,
Lithuania,LTU,2014,"48,526,000,845.31",3.42,27.43,17.35,59.57
Luxembourg,LUX,2014,"66,103,853,236.76",0.29,10.52,3.95,78.3
"Macao SAR, China",MAC,2014,"55,347,998,647.82",,5,0.42,93.29
Madagascar,MDG,2014,"12,522,959,157.23",25.85,13.49,,54.33
Malawi,MWI,2014,"6,047,813,437.32",28.7,14.65,9.55,49.8
Malaysia,MYS,2014,"338,061,963,396.38",8.87,39.92,22.87,50.12
